2.30259	2.76657	1.17285
2.99573	3.62211	1.90306
3.4012	4.13787	2.44922
3.68888	4.48299	2.75344
3.91202	4.74771	2.99715
4.09434	4.96725	3.20019
4.2485	5.15155	3.37249
4.38203	5.31499	3.5258
4.49981	5.44869	3.65707
4.60517	5.57576	3.77887
4.70048	5.68844	3.88768
4.78749	5.79257	3.98682
4.86753	5.88413	4.07633
4.94164	5.97313	4.16298
5.01064	6.05813	4.24717
5.07517	6.1361	4.31934
5.1358	6.20506	4.38954
5.19296	6.27503	4.45851
5.24702	6.34141	4.52117
5.29832	6.40041	4.58072
5.34711	6.45469	4.63657
5.39363	6.51221	4.69116
5.43808	6.56284	4.74095
5.48064	6.61591	4.79533
5.52146	6.66557	4.84194
5.56068	6.7153	4.88893
5.59842	6.75606	4.92923
5.63479	6.79854	4.97304
5.66988	6.84319	5.01677
5.70378	6.88244	5.05378
5.73657	6.92117	5.09579
5.76832	6.9593	5.13142
5.79909	7.00089	5.1737
5.82895	7.02664	5.20149
5.85793	7.06664	5.23964
5.8861	7.09401	5.2686
5.9135	7.13007	5.3012
5.94017	7.16687	5.3389
5.96615	7.19854	5.36865
5.99146	7.22416	5.39415
6.01616	7.25579	5.42682
6.04025	7.27906	5.44912
6.06379	7.31144	5.4815
6.08677	7.33861	5.50755
6.10925	7.36255	5.53217
6.13123	7.39319	5.56049
6.15273	7.41693	5.58564
6.17379	7.43786	5.6089
6.19441	7.46008	5.62973
6.21461	7.48781	5.65656
6.23441	7.5078	5.67591
6.25383	7.53505	5.70232
6.27288	7.54779	5.71685
6.29157	7.57938	5.74712
6.30992	7.59977	5.76395
6.32794	7.62048	5.78671
6.34564	7.64321	5.8093
6.36303	7.66196	5.82727
6.38012	7.68274	5.85071
6.39693	7.70258	5.86966
6.41346	7.72352	5.8887
6.42972	7.74743	5.91167
6.44572	7.75965	5.92586
6.46147	7.77848	5.9433
6.47697	7.79726	5.96513
6.49224	7.81225	5.96899
6.50728	7.83509	5.99343
6.52209	7.85014	6.00718
6.53669	7.86245	6.02955
6.55108	7.88729	6.05091
6.56526	7.90504	6.06986
6.57925	7.91864	6.08423
6.59304	7.92455	6.09167
6.60665	7.95655	6.11437
6.62007	7.9598	6.12744
6.63332	7.99718	6.15685
6.64639	8.00407	6.16478
6.65929	8.02481	6.18235
6.67203	8.03429	6.20362
6.68461	8.04744	6.21235
6.69703	8.05874	6.22958
6.7093	8.07464	6.23082
6.72143	8.08588	6.24862
6.7334	8.09684	6.25874
6.74524	8.11076	6.27419
6.75693	8.14245	6.30909
6.76849	8.13786	6.30799
6.77992	8.16272	6.32511
6.79122	8.16753	6.33963
6.80239	8.17944	6.34597
6.81344	8.21214	6.37095
6.82437	8.19797	6.36112
6.83518	8.23664	6.39604
6.84588	8.25332	6.40995
6.85646	8.24829	6.41425
6.86693	8.25714	6.41433
6.8773	8.2993	6.4668
6.88755	8.28527	6.45051
6.8977	8.28095	6.44782
6.90776	8.30397	6.46985
7.00307	8.42743	6.59279
